neighbourhood_group;neighbourhood;room_type;price;minimum_nights;number_of_reviews;reviews_per_month;calculated_host_listings_count;availability_365
Cascais;So Domingos de Rana;Private room;90;1;1;0.04;1;365
Lisboa;Lumiar;Private room;1000;1;0;;1;0
Lisboa;Arroios;Entire home/apt;2000;1;0;;2;365
Lisboa;So Domingos de Benfica;Entire home/apt;500;1;0;;1;0
Lisboa;Penha de Frana;Entire home/apt;70;7;16;0.26;1;331
Lisboa;Arroios;Private room;29;3;222;3.31;1;334
Cascais;Cascais e Estoril;Entire home/apt;200;4;54;0.83;1;335
Lisboa;Carnide;Entire home/apt;500;2;0;;1;0
Lisboa;Santa Maria Maior;Private room;180;1;0;;1;365
Lisboa;Benfica;Entire home/apt;1600;1;0;;1;0
Lisboa;So Vicente;Entire home/apt;60;1;465;7.19;1;325
Sintra;So Joo das Lampas e Terrugem;Entire home/apt;150;5;13;0.25;4;240
Cascais;Cascais e Estoril;Entire home/apt;70;7;5;0.18;2;0
Lisboa;Avenidas Novas;Private room;750;1;0;;1;0
Lisboa;So Domingos de Benfica;Private room;20;1;6;0.09;1;53
Lourinh;Lourinh e Atalaia;Entire home/apt;50;5;3;0.06;4;363
Lisboa;Avenidas Novas;Entire home/apt;2000;1;0;;1;0
Lourinh;Lourinh e Atalaia;Entire home/apt;100;4;1;0.04;4;331
Lisboa;Avenidas Novas;Entire home/apt;200;1;0;;1;365
Lourinh;Lourinh e Atalaia;Entire home/apt;60;3;3;0.06;4;269
Lourinh;Lourinh e Atalaia;Entire home/apt;65;3;9;0.14;4;364
Lisboa;Benfica;Private room;280;1;0;;1;0
Lisboa;Alcntara;Entire home/apt;43;3;205;3.07;6;360
Lisboa;Alcntara;Entire home/apt;36;3;236;3.56;6;356
Lisboa;Marvila;Entire home/apt;600;1;0;;1;0
Lisboa;Misericrdia;Entire home/apt;80;2;257;3.83;1;173
Lisboa;Parque das Naes;Entire home/apt;1000;1;0;;1;0
Lisboa;Alvalade;Entire home/apt;500;1;0;;1;0
Lisboa;So Vicente;Private room;61;2;87;1.30;1;30
Lisboa;Benfica;Entire home/apt;160;1;1;0.01;1;0
Amadora;Encosta do Sol;Private room;80;1;0;;1;180
Lisboa;So Vicente;Entire home/apt;28;3;194;2.91;3;346
Sintra;Massam e Monte Abrao;Entire home/apt;300;1;0;;1;0
Lisboa;So Domingos de Benfica;Entire home/apt;2000;1;0;;1;0
Lisboa;So Vicente;Entire home/apt;30;2;189;2.83;3;314
Lisboa;Parque das Naes;Entire home/apt;46;3;78;1.24;10;154
Lisboa;Arroios;Private room;400;1;0;;1;0
Cascais;Cascais e Estoril;Private room;30;1;333;5.07;4;89
Lisboa;Avenidas Novas;Entire home/apt;145;2;333;4.97;7;335
Cascais;Alcabideche;Entire home/apt;90;1;0;;7;364
Lisboa;Campo de Ourique;Entire home/apt;1000;2;0;;1;0
Lisboa;Alvalade;Private room;200;1;0;;1;0
Lisboa;Santo Antnio;Entire home/apt;100;1;0;;1;0
Lisboa;Misericrdia;Entire home/apt;100;1;171;2.55;66;286
Lisboa;Penha de Frana;Private room;22;3;88;1.32;1;0
Lisboa;Areeiro;Entire home/apt;3000;1;0;;1;0
Lisboa;So Domingos de Benfica;Private room;800;1;0;;1;0
Lisboa;Avenidas Novas;Private room;25;3;6;0.11;9;149
Lisboa;Alcntara;Private room;500;1;0;;1;0
Lisboa;Misericrdia;Entire home/apt;76;3;104;2.02;1;286
Lisboa;Santo Antnio;Private room;150;1;1;0.01;1;365
Lisboa;Alvalade;Entire home/apt;500;1;0;;1;365
Loures;Moscavide e Portela;Entire home/apt;200;1;0;;1;0
Cascais;Cascais e Estoril;Entire home/apt;40;5;8;0.12;1;0
Lisboa;So Domingos de Benfica;Entire home/apt;650;1;0;;1;0
Lisboa;Santa Maria Maior;Private room;39;2;87;2.27;2;230
Cascais;Cascais e Estoril;Private room;34;1;109;1.62;1;327
Lisboa;Santo Antnio;Private room;900;1;0;;1;0
Lisboa;Benfica;Entire home/apt;72;2;99;3.03;3;320
Lisboa;Misericrdia;Entire home/apt;110;2;8;0.12;111;2
Lisboa;Misericrdia;Entire home/apt;50;3;375;5.59;1;201
Sintra;Colares;Entire home/apt;60;2;9;0.29;2;346
Lisboa;Belm;Entire home/apt;52;2;27;0.50;13;55
Lisboa;So Domingos de Benfica;Entire home/apt;140;1;1;0.01;1;0
Lisboa;Carnide;Entire home/apt;1200;1;0;;2;0
Lisboa;Benfica;Entire home/apt;1200;1;0;;2;0
Amadora;guas Livres;Entire home/apt;320;1;0;;1;0
Odivelas;Ramada e Caneas;Entire home/apt;5000;1;0;;1;0
Lisboa;Estrela;Entire home/apt;400;1;0;;1;0
Lisboa;Penha de Frana;Entire home/apt;650;1;0;;1;0
Lisboa;Olivais;Private room;250;1;0;;1;0
Sintra;Colares;Entire home/apt;30;2;48;0.75;2;23
Lisboa;Misericrdia;Entire home/apt;500;1;0;;1;365
Lisboa;Misericrdia;Private room;160;1;0;;1;0
Lisboa;Campo de Ourique;Private room;40;1;0;;1;0
Lisboa;Belm;Entire home/apt;600;1;0;;1;0
Oeiras;Algs, Linda-a-Velha e Cruz Quebrada-Dafundo;Private room;500;1;0;;1;0
Lisboa;So Domingos de Benfica;Entire home/apt;2000;2;0;;1;0
Lisboa;Misericrdia;Entire home/apt;100;1;166;2.50;66;302
Lisboa;Misericrdia;Entire home/apt;105;1;52;0.81;66;300
Lisboa;Campo de Ourique;Entire home/apt;1000;1;0;;1;0
Mafra;Carvoeira;Entire home/apt;30;3;74;1.15;4;359
Lisboa;Santo Antnio;Private room;80;1;0;;1;0
Sintra;Queluz e Belas;Private room;500;1;0;;1;0
Lisboa;Parque das Naes;Private room;300;1;0;;1;0
Lisboa;Carnide;Private room;20;1;0;;1;0
Lisboa;Estrela;Private room;350;1;0;;1;0
Cascais;Cascais e Estoril;Entire home/apt;140;7;15;0.23;1;291
Cascais;Cascais e Estoril;Entire home/apt;99;1;17;0.26;1;286
Lisboa;So Domingos de Benfica;Entire home/apt;300;1;0;;1;0
Lisboa;Misericrdia;Entire home/apt;55;2;192;2.88;15;320
Lisboa;Belm;Shared room;120;1;0;;1;363
Lisboa;Penha de Frana;Entire home/apt;250;1;0;;1;0
Lisboa;Santo Antnio;Entire home/apt;350;1;0;;1;0
